	PMIDs	nDCG@5	nDCG@10	nDCG@15	nDCG@20	nDCG@25	nDCG@50
585	7527384						
586	7527400						
587	7527408						
588	7527461						
589	7527480						
590	7527588						
591	7527741						
592	7527779						
593	7527818						
594	7528517						
595	7528743						
596	7529048	0.5087	0.3964	0.3499	0.2913	0.3069	0.3887
597	7529176						
598	7529319						
599	7529351						
600	7529593						
601	7529598						
602	7529719						
603	7529818						
604	7529965						
605	7530043						
606	7530175						
607	7530428						
608	7530452						
609	7530494						
610	7530600	0.8869	0.8019	0.7541	0.7629	0.7947	0.6924
611	7530877						
612	7530908						
613	7530983						
614	7531225						
615	7531704						
616	7531880						
617	7531985						
618	7532103						
619	7532153						
620	7532337	1.0	1.0	1.0	1.0	1.0	0.9282
621	7532531						
622	7532736						
623	7533026						
624	7533605						
625	7533606						
626	7533907						
627	7534047						
628	7534068	0.8869	0.9266	0.9431	0.9527	0.9328	0.9085
629	7534108						
630	7534203						
631	7534226						
632	7534234						
633	7534315						
634	7534334						
635	7534462						
636	7534805						
637	7534877						
638	7535082						
639	7535340						
640	7535398	0.0	0.0	0.0	0.0147	0.0501	0.0636
641	7535629						
642	7535718						
643	7535732						
644	7535745						
645	7535746						
646	7535776						
647	7535781						
648	7535898						
649	7536008						
650	7536017						
651	7536156						
652	7536232						
653	7536616						
654	7536683						
655	7536844	0.12	0.1725	0.1573	0.175	0.1766	0.202
656	7536883						
657	7536885						
658	7536897						
659	7537189						
660	7537218						
661	7537306						
662	7537309						
663	7537325						
664	7537458						
665	7537496						
666	7537506						
667	7537578						
668	7537624						
669	7537697						
670	7537794						
671	7537849						
672	7537859						
673	7538142						
674	7538143						
675	7538301						
676	7538446						
677	7538513						
678	7538605						
679	7538608						
680	7538666						
681	7539001						
682	7539054						
683	7539210						
684	7539685						
685	7540133						
686	7540278						
687	7540358						
688	7540552	1.0	1.0	1.0	0.8439	0.838	0.8095
689	7540574						
690	7541045						
691	7541254						
692	7541273						
693	7541313						
694	7541703						
695	7541910						
696	7541969						
697	7542032						
698	7542223						
699	7542225	1.0	0.9337	0.906	0.9217	0.8796	0.8062
700	7542253						
701	7542462	0.1461	0.0948	0.0735	0.1288	0.1659	0.1759
702	7542476						
703	7542564						
704	7542641						
705	7542685						
706	7542778						
707	7542850						
708	7543144						
709	7543196						
710	7543280						
711	7543582						
712	7543631						
713	7543652						
714	7543684						
715	7544060						
716	7544253						
717	7544710	0.0	0.0636	0.0493	0.1092	0.0946	0.1229
718	7544778						
719	7544807						
720	7545165						
721	7545211						
722	7545236	0.3392	0.2201	0.2201	0.2201	0.2201	0.2201
723	7545402						
724	7545509						
725	7545688						
726	7545813						
727	7545833						
728	7545869						
729	7545954						
730	7546234						
731	7546294						
732	7546396	0.3392	0.3134	0.3134	0.4262	0.4762	0.4762
733	7546595						
734	7546616	0.3836	0.3909	0.3943	0.363	0.3405	0.4809
