	PMIDs	nDCG@5	nDCG@10	nDCG@15	nDCG@20	nDCG@25	nDCG@50
386	22287896	0.1696	0.2108	0.2108	0.2703	0.4359	0.5344
387	22287898	0.0	0.0	0.0	0.0366	0.0696	0.2359
388	22287912	0.5958	0.556	0.4946	0.4946	0.4946	0.5959
389	22289989	0.3048	0.2852	0.3024	0.3206	0.3903	0.5519
390	22293015	0.5453	0.6038	0.663	0.6829	0.7199	0.8132
391	22293854	0.6765	0.6572	0.645	0.637	0.6676	0.8436
392	22316179	0.1239	0.1034	0.1034	0.1034	0.1034	0.4232
393	22326562	1.0	0.8612	0.8	0.7219	0.7411	0.9018
394	22334061	0.487	0.5172	0.4797	0.5008	0.5793	0.6879
395	22347718	0.6765	0.7901	0.7476	0.7683	0.7185	0.8237
396	22360221	1.0	0.8564	0.8304	0.7821	0.8187	0.8883
397	22371325	0.7699	0.6655	0.7109	0.7147	0.6995	0.826
398	22396478	0.6131	0.6985	0.71	0.7363	0.7416	0.7959
399	22402262	0.9125	0.7555	0.782	0.7731	0.7856	0.8699
400	22407055	0.786	0.7917	0.8087	0.7835	0.7857	0.8088
401	22443318	0.6992	0.6822	0.6487	0.6411	0.6275	0.7668
402	22448264	0.6312	0.6066	0.6269	0.6782	0.7087	0.8003
403	22450260	1.0	0.9266	0.8096	0.8415	0.8627	0.8933
404	22473976	0.589	0.7333	0.7648	0.8042	0.8121	0.8548
405	22493700	1.0	0.9095	0.8716	0.8028	0.7617	0.8639
406	22503145	0.8151	0.7896	0.7763	0.6912	0.7209	0.8778
407	22508028	0.5594	0.5771	0.7396	0.7777	0.8214	0.8021
408	22511603	0.7227	0.469	0.4675	0.4675	0.5116	0.7361
409	22521243	0.2303	0.3099	0.2963	0.3344	0.377	0.503
410	22544657	0.7163	0.8691	0.8691	0.8691	0.8691	0.8691
411	22546611	1.0	1.0	0.9117	0.8603	0.8435	0.8977
412	22546823	0.5284	0.576	0.6065	0.6475	0.6438	0.7296
413	22552786	0.1765	0.1254	0.1888	0.2057	0.2281	0.4786
414	22553375	0.0	0.1111	0.1111	0.1111	0.139	0.2613
415	22569528	0.3836	0.4007	0.4015	0.3343	0.3955	0.5321
416	22575017	0.9026	0.7759	0.7444	0.7888	0.7774	0.824
417	22584173	0.6003	0.5048	0.6207	0.6191	0.6178	0.7658
418	22614173	0.4323	0.5304	0.4399	0.4663	0.5117	0.6646
419	22645347	1.0	0.8803	0.8774	0.8208	0.7818	0.8596
420	22660439	0.5155	0.6691	0.686	0.6964	0.6887	0.8096
421	22664741	0.0	0.1689	0.2062	0.3048	0.2888	0.5385
422	22671536	0.7896	0.8411	0.8583	0.8397	0.8555	0.9178
423	22698284	0.6427	0.675	0.6898	0.6975	0.7021	0.8283
424	22730495	0.4307	0.5359	0.5794	0.6052	0.604	0.7941
425	22738915	0.4704	0.4615	0.431	0.4649	0.4662	0.6401
426	22749424	1.0	1.0	0.9693	0.9744	0.9954	0.9954
427	22761950	1.0	1.0	1.0	0.9677	0.9452	0.887
428	22773746	0.9026	0.8356	0.8409	0.8448	0.8301	0.878
