	PMIDs	nDCG@5	nDCG@10	nDCG@15	nDCG@20	nDCG@25	nDCG@50
3030	29718482	0.3957	0.3483	0.3291	0.3404	0.357	0.6426
3031	29718923	0.5438	0.6028	0.5725	0.5874	0.6107	0.7976
3032	29718938	0.5729	0.6801	0.6428	0.6167	0.58	0.7741
3033	29718941	0.4208	0.5779	0.6136	0.589	0.6386	0.7685
3034	29718958	0.5969	0.642	0.5435	0.6535	0.6388	0.7981
3035	29718989	0.7995	0.6881	0.653	0.6337	0.7352	0.8565
3036	29719425	0.7443	0.7852	0.7736	0.7672	0.7808	0.8648
3037	29719633	0.4307	0.4852	0.481	0.55	0.6173	0.7658
3038	29720090	0.4724	0.6576	0.687	0.7394	0.757	0.7904
3039	29720123	0.8151	0.7854	0.8045	0.7483	0.6839	0.8545
3040	29720194	0.5087	0.3938	0.35	0.4199	0.4866	0.7201
3041	29720209	0.5734	0.5091	0.5323	0.5369	0.5288	0.7262
3042	29720233	0.5182	0.3681	0.4123	0.4414	0.4653	0.6266
3043	29720279	0.7699	0.7097	0.6867	0.6498	0.6429	0.8695
3044	29720588	0.1696	0.1332	0.1401	0.1915	0.2611	0.5585
3045	29720775	0.2846	0.3198	0.3366	0.3905	0.4031	0.6369
3046	29720820	0.7896	0.7085	0.7005	0.6622	0.6545	0.8188
3047	29720831	0.3333	0.4264	0.4429	0.5382	0.5918	0.7116
3048	29720895	0.7896	0.7649	0.7588	0.7422	0.7981	0.86
3049	29720927	0.5148	0.5001	0.5283	0.5976	0.625	0.717
3050	29720955	0.4496	0.4789	0.4684	0.4373	0.4484	0.5965
3051	29720977	0.7227	0.7114	0.7763	0.7593	0.762	0.8785
3052	29720995	1.0	0.9537	0.846	0.795	0.7686	0.8734
3053	29721091	0.4731	0.4959	0.5003	0.5347	0.5386	0.6998
3054	29721202	0.8869	0.8379	0.8168	0.8248	0.8125	0.9025
3055	29721224	0.6534	0.4934	0.4881	0.5433	0.557	0.7584
3056	29721279	0.1799	0.2801	0.3499	0.4056	0.4945	0.6625
3057	29721339	0.5087	0.5576	0.5813	0.5518	0.5691	0.7064
3058	29721505	0.327	0.3723	0.3546	0.3755	0.4365	0.6342
3059	29722788	0.7021	0.6508	0.6867	0.6486	0.6319	0.7765
3060	29722865	0.4881	0.5542	0.5351	0.5687	0.6052	0.8046
3061	29723187	0.5108	0.5861	0.6074	0.5841	0.6513	0.7717
3062	29723268	1.0	0.9576	0.9354	0.9011	0.896	0.9559
3063	29723388	0.7995	0.8275	0.8663	0.8221	0.8099	0.8897
3064	29724178	1.0	0.8864	0.8835	0.8701	0.8518	0.8847
3065	29724205	0.2768	0.3194	0.4356	0.4626	0.4585	0.6405
3066	29724830	1.0	1.0	0.9701	0.9751	0.9608	0.9562
3067	29725036	0.4464	0.5966	0.6177	0.6966	0.7142	0.7801
3068	29725089	1.0	0.9537	0.935	0.9125	0.9063	0.9376
3069	29725116	1.0	0.9216	0.9392	0.9494	0.9562	0.9624
3070	29725239	0.6312	0.6154	0.6111	0.5987	0.6167	0.7961
3071	29725333	0.7215	0.7363	0.6953	0.7058	0.7131	0.8141
3072	29725440	0.4273	0.5422	0.5965	0.6143	0.6284	0.6964
3073	29725863	0.8304	0.8116	0.8063	0.8388	0.8342	0.8442
3074	29726964	1.0	1.0	0.9425	0.8847	0.9002	0.9103
3075	29728057	1.0	1.0	1.0	1.0	1.0	0.9605
3076	29728059	0.4208	0.5093	0.5643	0.604	0.6348	0.7577
3077	29728102	0.7896	0.629	0.6082	0.6969	0.7128	0.8488
3078	29728137	0.9125	0.9432	0.9243	0.937	0.9454	0.9346
3079	29728150	0.7896	0.7682	0.7451	0.7663	0.7439	0.8291
3080	29728658	1.0	1.0	1.0	0.9777	0.9259	0.9241
3081	29731704	0.8573	0.8122	0.8544	0.8561	0.8573	0.9031
3082	29731987	1.0	1.0	0.8806	0.8787	0.8409	0.8907
3083	29732137	0.6469	0.722	0.7253	0.7051	0.7268	0.8386
3084	29732161	0.7557	0.6653	0.7115	0.6874	0.7149	0.829
3085	29732207	0.6312	0.641	0.6457	0.6835	0.672	0.7957
3086	29732237	0.387	0.426	0.4339	0.4848	0.5502	0.7065
3087	29732285	0.0487	0.1834	0.2301	0.3155	0.3432	0.5318
3088	29732317	0.5574	0.4312	0.3342	0.3413	0.4047	0.5918
3089	29732339	0.0713	0.1838	0.3202	0.3267	0.3317	0.5461
3090	29732373	0.9026	0.778	0.7512	0.7474	0.6915	0.8532
3091	29732611	0.673	0.5072	0.4816	0.5241	0.5485	0.7584
3092	29734043	0.9026	0.8463	0.8502	0.8082	0.834	0.8887
3093	29734941	0.1312	0.1488	0.1739	0.2121	0.2663	0.5219
3094	29736271	0.6018	0.55	0.5729	0.5734	0.626	0.7877
3095	29736335	0.6864	0.5987	0.6361	0.6176	0.6296	0.6915
3096	29737317	0.7739	0.6911	0.6846	0.6807	0.7551	0.8018
3097	29737322	0.6992	0.6691	0.6392	0.6339	0.63	0.7704
3098	29738461	0.7995	0.7263	0.7561	0.6953	0.6851	0.8344
3099	29739964	0.6097	0.5313	0.4513	0.448	0.4698	0.6994
3100	29740036	1.0	0.8362	0.7821	0.7462	0.7388	0.8325
3101	29740320	0.3333	0.415	0.471	0.5442	0.5348	0.7109
3102	29740474	0.7995	0.7305	0.8118	0.8107	0.8217	0.9103
3103	29740477	0.7021	0.65	0.655	0.6372	0.7101	0.8289
3104	29740516	0.1638	0.339	0.3629	0.3653	0.3784	0.5679
3105	29740519	0.8539	0.648	0.5903	0.6572	0.7179	0.8177
3106	29740555	0.6568	0.7349	0.7062	0.7116	0.7321	0.8344
3107	29740598	0.4469	0.4695	0.5747	0.5922	0.6065	0.7073
3108	29740599	0.7699	0.7495	0.745	0.7101	0.6956	0.8521
3109	29741710	0.3653	0.47	0.5336	0.5587	0.594	0.7441
3110	29741956	0.7443	0.6947	0.6463	0.7063	0.789	0.8758
3111	29742233	0.4854	0.4303	0.4545	0.5308	0.5195	0.6804
3112	29743201	0.3333	0.2914	0.3438	0.3554	0.4577	0.6103
3113	29743780	0.2409	0.2351	0.4154	0.3997	0.453	0.6245
3114	29743922	0.4542	0.3681	0.3349	0.354	0.3803	0.6456
3115	29743923	1.0	0.9511	0.9621	0.9684	0.9727	0.9828
3116	29743939	0.7665	0.649	0.6051	0.6229	0.667	0.775
3117	29743964	0.8573	0.9074	0.8984	0.8488	0.8331	0.9174
3118	29744041	0.4208	0.5311	0.4724	0.4804	0.5474	0.7295
3119	29744042	1.0	1.0	1.0	1.0	1.0	1.0
3120	29744111	1.0	0.9477	0.9595	0.9663	0.8996	0.8831
3121	29744313	0.7714	0.8092	0.7597	0.8	0.7721	0.8546
3122	29744455	0.2705	0.3749	0.4402	0.5016	0.5501	0.703
3123	29747082	1.0	1.0	0.9693	0.9525	0.8873	0.8851
3124	29748347	0.3721	0.3311	0.338	0.4099	0.4149	0.592
3125	29748604	0.3333	0.4352	0.4985	0.5442	0.61	0.7504
3126	29748606	0.5148	0.4215	0.3904	0.4717	0.4559	0.6648
3127	29750012	0.4881	0.5102	0.5304	0.549	0.5626	0.7226
