	PMIDs	nDCG@5	nDCG@10	nDCG@15	nDCG@20	nDCG@25	nDCG@50
195	19031310	1.0	1.0	0.941	0.929	0.9201	0.9534
196	19033550	1.0	1.0	1.0	1.0	1.0	0.9891
197	19109306	1.0	1.0	1.0	0.9784	0.9448	0.9485
198	19158309	1.0	0.9576	0.938	0.9261	0.8998	0.9573
199	19199887	1.0	0.9558	0.9075	0.9229	0.9149	0.9404
200	19211699	1.0	0.9511	0.9304	0.9193	0.8936	0.9186
201	19212951	0.8869	0.8777	0.9052	0.8979	0.9116	0.9491
202	19212952	0.7896	0.8112	0.8245	0.8539	0.8199	0.9232
203	19216435	1.0	1.0	1.0	1.0	1.0	1.0
204	19218317	1.0	0.8573	0.8894	0.8856	0.8826	0.9215
205	19223899	1.0	1.0	1.0	0.9757	0.9985	0.9836
206	19306877	0.8573	0.865	0.8655	0.8433	0.8643	0.9082
207	19325741	1.0	0.9477	0.9595	0.9663	0.9708	0.965
208	19357087	0.8613	0.8506	0.8425	0.8388	0.853	0.9135
209	19400705	0.9026	0.8944	0.9181	0.9103	0.9042	0.8902
210	19402753	1.0	1.0	0.9701	0.9185	0.9156	0.9841
211	19423038	0.476	0.5205	0.6567	0.6863	0.7391	0.8318
212	19424294	0.9026	0.8944	0.8864	0.8835	0.8808	0.8898
213	19429505	1.0	0.9537	0.9641	0.9701	0.9567	0.9199
214	19459974	1.0	0.8624	0.7945	0.834	0.8434	0.9507
215	19475631	1.0	1.0	1.0	1.0	1.0	0.9887
216	19481676	0.7896	0.8112	0.7644	0.8083	0.8406	0.9096
217	19497796	0.9578	0.9665	0.9143	0.9672	0.9672	0.9672
218	19509160	0.9891	0.9909	0.9681	0.9518	0.9235	0.985
219	19509264	1.0	0.9573	0.8792	0.8709	0.9348	0.9736
220	19528978	1.0	1.0	1.0	1.0	1.0	0.9975
221	19539124	0.5734	0.6639	0.7812	0.8327	0.8304	0.8497
222	19554038	1.0	1.0	1.0	0.9996	0.9892	0.9993
223	19575587	1.0	1.0	1.0	0.9554	0.9258	0.9533
224	19578149	0.8573	0.865	0.8954	0.9129	0.9246	0.9524
225	19687567	0.733	0.7597	0.8232	0.8059	0.8402	0.9054
226	19704706	1.0	0.9558	0.934	0.8992	0.8772	0.9527
227	19738636	0.7443	0.8341	0.8131	0.8444	0.8476	0.9199
228	19739086	0.8573	0.9074	0.8991	0.916	0.9273	0.9397
229	19754110	0.9026	0.8944	0.8307	0.8143	0.8032	0.8812
230	19760540	1.0	0.9576	0.9671	0.9726	0.9222	0.9759
231	19783626	1.0	0.9113	0.9021	0.8504	0.8704	0.9332
232	19815685	1.0	0.9537	0.9641	0.9701	0.9741	0.9742
233	19874723	1.0	1.0	0.9425	0.9086	0.9209	0.9775
234	19901993	1.0	0.9907	0.9726	0.9243	0.9243	0.9649
235	19911947	1.0	1.0	0.9683	0.9736	0.9416	0.943
236	19913618	1.0	0.9511	0.8705	0.9293	0.9552	0.9771
237	19932022	1.0	0.9558	0.9658	0.9715	0.9572	0.9497
238	19953549	1.0	1.0	1.0	0.9784	0.9813	0.9924
239	19953550	0.7739	0.7667	0.6991	0.7545	0.8088	0.8817
240	20005547	0.7739	0.8091	0.8203	0.8069	0.7787	0.8838
241	20018841	1.0	1.0	1.0	1.0	1.0	0.9674
242	20029167	0.7227	0.7564	0.8729	0.923	0.923	0.923
243	20037478	0.3751	0.5259	0.6226	0.694	0.7486	0.8159
244	20043062	0.7699	0.7178	0.8537	0.921	0.9258	0.9299
245	20058250	0.8869	0.8314	0.8693	0.8689	0.8865	0.9455
246	20075921	1.0	1.0	1.0	0.9773	0.9443	0.9461
247	20087656	1.0	1.0	1.0	1.0	1.0	1.0
248	20097120	1.0	0.9477	0.9595	0.944	0.9338	0.9416
249	20135181	1.0	0.9537	0.9324	0.9437	0.9155	0.9571
250	20140905	0.9125	0.7516	0.7984	0.8377	0.892	0.9456
251	20156279	1.0	0.9958	0.9962	0.9965	0.9967	0.9975
252	20192741	1.0	1.0	1.0	1.0	0.9644	0.9568
253	20192744	1.0	0.9095	0.8707	0.8692	0.8147	0.9045
254	20202166	0.5182	0.6873	0.6978	0.659	0.7048	0.8537
255	20231438	0.5958	0.7962	0.8304	0.8525	0.8466	0.8916
256	20304729	1.0	1.0	1.0	0.9773	0.9803	0.9913
257	20331867	0.9125	0.8077	0.8459	0.9338	0.9607	0.9635
258	20417093	0.9125	0.9432	0.956	0.9187	0.9297	0.9785
259	20434330	1.0	0.9537	0.9641	0.9482	0.9375	0.9333
260	20457442	0.8688	0.7631	0.9354	0.9354	0.9354	0.9354
261	20483501	0.7995	0.7786	0.8283	0.8571	0.8581	0.908
262	20493683	0.7896	0.8145	0.767	0.806	0.8146	0.8913
263	20515503	1.0	1.0	1.0	1.0	0.9819	0.9888
264	20523001	0.8869	0.9099	0.919	0.9256	0.9309	0.9376
265	20526106	0.8869	0.9266	0.8217	0.8406	0.8702	0.9429
266	20530704	0.6864	0.8026	0.8285	0.8225	0.8397	0.8722
267	20541636	0.476	0.611	0.6323	0.7395	0.755	0.8191
268	20543885	1.0	0.8573	0.7702	0.8614	0.8904	0.9445
269	20572796	1.0	0.9477	0.9288	0.9175	0.9111	0.8973
270	20581693	0.8151	0.8249	0.9004	0.9229	0.9229	0.9403
271	20616783	1.0	0.803	0.9028	0.8779	0.895	0.9482
272	20619762	1.0	1.0	1.0	1.0	1.0	0.9793
273	20626203	0.8869	0.9266	0.9114	0.8362	0.8734	0.964
274	20627589	1.0	1.0	0.9693	0.9529	0.9592	0.9569
275	20664591	1.0	1.0	0.9753	0.9577	0.9967	0.9967
276	20682055	0.7227	0.6233	0.688	0.8061	0.8061	0.8587
277	20682712	0.8613	0.9673	0.8943	0.8841	0.9244	0.9591
278	20697706	1.0	0.9537	0.9357	0.9465	0.9355	0.9433
279	20699654	0.6765	0.7542	0.7992	0.8307	0.829	0.8624
280	20705178	0.7995	0.8257	0.8649	0.8875	0.8847	0.9061
281	20800867	0.9125	0.8796	0.9067	0.8785	0.8905	0.9596
282	20804791	1.0	1.0	0.9709	0.9542	0.906	0.9901
283	20818429	1.0	1.0	1.0	0.9371	0.9053	0.9835
284	20846589	1.0	1.0	0.964	0.9795	0.9795	0.991
285	20923857	0.9125	0.8764	0.8882	0.8807	0.8888	0.9326
286	20940062	1.0	0.9364	0.8624	0.8717	0.9224	0.9702
287	20943761	1.0	1.0	1.0	1.0	0.9415	0.9946
288	20951029	1.0	1.0	1.0	1.0	1.0	0.93
289	20976349	1.0	1.0	0.9683	0.9517	0.9582	0.9345
290	21041684	1.0	0.9576	0.9671	0.9726	0.9586	0.9894
291	21058317	1.0	1.0	1.0	0.9777	0.9442	0.9932
292	21062932	0.9125	0.8872	0.9361	0.9412	0.9452	0.9594
293	21094045	0.8869	0.8379	0.8459	0.804	0.8121	0.8965
294	21106489	0.7739	0.7646	0.7663	0.8375	0.8955	0.9076
295	21106551	0.8869	0.8353	0.9247	0.9444	0.9477	0.9325
296	21113235	0.7113	0.884	0.897	0.9064	0.8984	0.9282
297	21125367	1.0	0.921	0.9539	0.9826	0.9826	0.9826
298	21126980	1.0	1.0	1.0	1.0	1.0	0.9987
299	21128641	0.7443	0.7852	0.8335	0.8394	0.8249	0.9054
300	21143860	0.7995	0.9537	0.9589	0.9445	0.9488	0.9518
301	21156660	1.0	1.0	1.0	0.9773	0.9784	0.9896
302	21156727	1.0	1.0	1.0	1.0	1.0	1.0
303	21166410	1.0	1.0	0.9683	0.9736	0.9771	0.9698
304	21168481	1.0	1.0	0.97	0.9719	0.9508	0.958
305	21176926	0.9026	0.7792	0.7543	0.7505	0.7479	0.8811
306	21212869	1.0	1.0	1.0	0.9773	0.9246	0.9921
307	21231250	1.0	1.0	0.9701	0.9751	0.961	0.9803
308	21246733	1.0	0.9558	0.9658	0.9272	0.937	0.9218
309	21261972	0.7694	0.8074	0.8072	0.8069	0.8392	0.9173
310	21262517	1.0	1.0	0.9772	0.9794	0.9651	0.9701
311	21264403	0.9026	0.9368	0.9226	0.9355	0.9084	0.9364
312	21296745	0.8869	0.8262	0.8421	0.9142	0.9198	0.9006
313	21316495	0.839	0.8333	0.77	0.775	0.7989	0.8411
314	21332802	0.9808	0.9501	0.9501	0.9501	0.9501	0.971
315	21335431	0.6765	0.7901	0.7783	0.8154	0.8218	0.867
316	21345472	0.7021	0.8067	0.8501	0.8525	0.8547	0.9027
317	21352235	1.0	1.0	0.9084	0.8791	0.8772	0.9351
318	21358988	0.9218	0.8949	0.9362	0.9362	0.9695	0.9695
319	21383419	1.0	1.0	1.0	1.0	1.0	1.0
320	21389632	0.9026	0.9368	0.951	0.9592	0.9647	0.9589
321	21397062	1.0	1.0	1.0	0.9554	0.9238	0.9905
322	21437654	0.5296	0.5296	0.5296	0.611	0.687	0.687
323	21453701	0.6608	0.6912	0.7308	0.7758	0.788	0.879
324	21466279	0.9125	0.9379	0.981	0.9665	0.9665	0.979
325	21468030	1.0	1.0	0.9316	0.9641	0.9786	0.9891
326	21472281	0.7227	0.8435	0.9381	0.9381	0.9381	0.9381
327	21472348	0.8539	0.7656	0.8411	0.8858	0.9299	0.9299
328	21472859	0.9125	0.8943	0.889	0.8641	0.8458	0.9261
329	21476793	0.8855	0.8855	0.8855	0.8855	0.8855	0.8855
330	21479832	1.0	1.0	0.9716	0.9544	0.9427	0.9569
331	21496004	0.2231	0.4423	0.4423	0.496	0.496	0.496
332	21511872	1.0	0.9558	0.9658	0.9264	0.9363	0.9336
333	21515771	1.0	1.0	1.0	1.0	1.0	1.0
334	21526969	0.7739	0.807	0.8219	0.807	0.7793	0.8841
335	21531831	1.0	1.0	1.0	1.0	0.9876	0.9994
336	21533463	0.3633	0.5024	0.5024	0.5024	0.5024	0.5024
337	21548781	0.8573	0.865	0.8954	0.8902	0.8875	0.9297
338	21590508	1.0	0.8988	0.9216	0.9347	0.9435	0.9538
339	21597961	1.0	1.0	1.0	0.9777	0.9807	0.9787
340	21603854	1.0	1.0	1.0	1.0	0.9635	0.9749
341	21604374	1.0	1.0	0.9835	0.9977	0.9977	0.9977
342	21613409	0.9125	0.9362	0.9434	0.9485	0.9368	0.9617
343	21621018	1.0	1.0	1.0	0.8956	0.9276	0.9853
344	21638042	1.0	0.9134	0.9045	0.8982	0.8944	0.9434
345	21652483	1.0	0.9576	0.9671	0.9726	0.9403	0.9719
346	21660574	1.0	1.0	1.0	1.0	1.0	1.0
347	21673185	0.7498	0.7666	0.8175	0.8175	0.8175	0.8175
348	21680884	1.0	1.0	1.0	1.0	1.0	0.9771
349	21725296	1.0	0.8716	0.9607	0.9483	0.9252	0.9743
350	21742805	0.7275	0.8317	0.7998	0.7653	0.8318	0.8926
351	21779393	0.8151	0.8072	0.9034	0.911	0.9033	0.9481
352	21802197	0.8869	0.9643	0.9681	0.9708	0.973	0.9518
353	21822285	0.7739	0.8394	0.8547	0.8972	0.8771	0.9051
354	21887827	1.0	0.9261	0.915	0.9007	0.9161	0.974
355	21901277	0.9026	0.8926	0.8576	0.8814	0.8615	0.9074
356	21903632	1.0	0.9558	0.9068	0.9373	0.9624	0.9565
357	21911475	1.0	0.8988	0.8034	0.8413	0.8934	0.9623
358	21912695	1.0	1.0	0.9716	0.9615	0.9745	0.9919
359	21914192	0.678	0.7438	0.7512	0.8017	0.7824	0.8638
360	21914651	0.9026	0.7958	0.81	0.8147	0.824	0.9233
361	21961645	1.0	1.0	1.0	1.0	1.0	1.0
362	21969591	0.9026	0.9857	0.9873	0.9518	0.9244	0.9666
363	21971999	1.0	1.0	0.9701	0.9532	0.9595	0.9574
364	21975598	1.0	1.0	1.0	0.9554	0.9614	0.991
365	21983106	0.7739	0.801	0.8457	0.827	0.8137	0.8812
366	21998555	0.9026	0.9368	0.9766	0.9783	0.9797	0.98
367	22093148	1.0	1.0	1.0	1.0	1.0	1.0
368	22102219	0.8573	0.9074	0.8699	0.8917	0.853	0.8808
369	22105488	1.0	0.8988	0.9111	0.9451	0.9617	0.9619
370	22121373	1.0	0.9576	0.9047	0.9374	0.9299	0.979
371	22130892	0.8151	0.915	0.8833	0.892	0.9245	0.9524
372	22130895	0.8933	0.9405	0.9231	0.9305	0.9363	0.9658
373	22147516	0.7739	0.807	0.8504	0.8296	0.8346	0.8871
374	22173548	0.7694	0.8672	0.8604	0.8542	0.8671	0.9297
375	22174369	0.4287	0.4994	0.5301	0.6482	0.6482	0.6884
376	22193955	0.9125	0.9863	0.9641	0.9316	0.9183	0.963
377	22194297	1.0	0.9558	0.9367	0.9026	0.8794	0.9763
378	22194685	0.6864	0.8474	0.8645	0.8768	0.8864	0.8961
379	22245099	1.0	1.0	1.0	1.0	1.0	1.0
380	22245354	1.0	1.0	1.0	1.0	1.0	0.999
381	22247157	1.0	1.0	1.0	1.0	1.0	0.9608
382	22268428	1.0	0.9537	0.9768	0.9926	0.9926	0.9926
383	22268691	1.0	1.0	1.0	1.0	0.9823	0.9956
384	22286770	0.8573	0.8809	0.8738	0.868	0.8492	0.9258
385	22287892	0.825	0.9324	0.9412	0.9426	0.9426	0.9426
386	22287896	1.0	0.8987	0.9692	0.9692	0.9692	0.9692
387	22287898	1.0	0.949	0.9917	0.9917	0.9917	0.9917
388	22287912	1.0	0.949	0.9168	0.95	0.95	0.9761
389	22289989	0.9195	0.857	0.7916	0.8725	0.8725	0.9154
390	22293015	1.0	0.9364	0.9222	0.9302	0.9543	0.9766
391	22293854	0.7896	0.773	0.7933	0.8063	0.8323	0.9113
392	22316179	0.8282	0.8517	0.8789	0.9264	0.9264	0.9264
393	22326562	0.8151	0.88	0.8495	0.8531	0.8191	0.9268
394	22334061	0.7694	0.8438	0.8845	0.9056	0.9249	0.9249
395	22347718	1.0	1.0	1.0	0.9784	0.9632	0.9823
396	22360221	0.9125	0.8567	0.8572	0.8592	0.8894	0.9646
397	22371325	0.7699	0.7542	0.8095	0.8187	0.8254	0.9106
398	22396478	0.9125	0.9941	0.9948	0.9771	0.9789	0.9793
399	22402262	0.9026	0.8926	0.9168	0.9307	0.8864	0.9077
400	22407055	1.0	1.0	1.0	1.0	0.9728	0.9936
401	22443318	1.0	1.0	0.9716	0.9317	0.9048	0.9749
402	22448264	1.0	0.9113	0.86	0.8963	0.9258	0.9502
403	22450260	1.0	1.0	1.0	1.0	1.0	0.9974
404	22473976	1.0	0.9113	0.9312	0.9428	0.9504	0.9357
405	22493700	1.0	1.0	0.9222	0.9352	0.9062	0.9508
406	22503145	0.9125	0.9008	0.8648	0.8643	0.8925	0.9627
407	22508028	0.8869	0.904	0.9137	0.9531	0.9564	0.9626
408	22511603	1.0	0.8669	0.9259	0.9739	0.9739	0.9739
409	22521243	0.9808	0.9843	0.9104	0.9125	0.9554	0.9747
410	22544657	0.7345	0.8577	0.8981	0.8981	0.8981	0.8981
411	22546611	1.0	1.0	1.0	0.9768	0.9621	0.9821
412	22546823	0.8613	0.8864	0.9012	0.9525	0.9567	0.9366
413	22552786	0.76	0.7403	0.8449	0.8899	0.8923	0.9057
414	22553375	1.0	0.9117	0.9794	0.9794	0.9794	0.9794
415	22569528	1.0	1.0	0.9524	0.8946	0.9562	0.9855
416	22575017	0.9026	0.8463	0.8825	0.9189	0.9483	0.9509
417	22584173	1.0	1.0	1.0	1.0	1.0	0.9748
418	22614173	1.0	1.0	1.0	0.9784	0.9994	0.9923
419	22645347	1.0	1.0	1.0	0.9545	0.9606	0.9877
420	22660439	0.8761	0.8966	0.9568	0.9218	0.9283	0.9581
421	22664741	1.0	1.0	1.0	1.0	0.9578	0.9961
422	22671536	1.0	1.0	1.0	0.9693	0.955	0.9941
423	22698284	1.0	1.0	0.9709	0.9303	0.9041	0.9852
424	22730495	0.7699	0.7071	0.6855	0.6939	0.6994	0.8662
425	22738915	0.7995	0.8276	0.8449	0.8411	0.8625	0.9209
426	22749424	1.0	0.9576	0.9671	0.9726	0.9937	0.9937
427	22761950	1.0	1.0	1.0	1.0	1.0	1.0
428	22773746	0.8869	0.8803	0.9073	0.8781	0.8763	0.933
429	22773788	1.0	1.0	0.9384	0.9049	0.9685	0.9851
430	22781128	0.8573	0.817	0.8264	0.8323	0.8011	0.9204
431	22786455	0.9026	0.8481	0.8531	0.8777	0.8317	0.9505
432	22787421	0.8508	0.8412	0.822	0.8529	0.8529	0.8794
433	22788775	1.0	0.9539	0.9937	0.9942	0.9818	0.9937
434	22790083	1.0	1.0	1.0	0.9784	0.9813	0.9844
435	22808152	1.0	1.0	1.0	1.0	1.0	0.959
436	22829559	1.0	1.0	1.0	1.0	1.0	0.9938
437	22837652	0.8573	0.9074	0.8975	0.8924	0.8894	0.921
438	22846910	0.9026	0.8879	0.9131	0.9061	0.8983	0.9685
439	22847841	0.9026	0.9368	0.9193	0.9105	0.9225	0.931
440	22864452	0.9026	0.9368	0.8912	0.8655	0.8306	0.9289
441	22869835	1.0	0.9576	0.9986	0.9987	0.9988	0.9991
442	22888088	1.0	0.9087	0.9241	0.9437	0.9469	0.9786
443	22889878	1.0	0.9477	0.9012	0.9357	0.9798	0.9798
444	22902541	0.7995	0.6782	0.6314	0.7189	0.7965	0.8966
445	22911369	1.0	1.0	1.0	1.0	0.9644	0.9943
446	22918483	1.0	0.9477	0.9296	0.9414	0.9309	0.9681
447	22933281	0.6765	0.8622	0.7963	0.8146	0.8146	0.8582
448	22933780	1.0	0.9576	0.9671	0.9726	0.9487	0.9677
449	22949186	1.0	1.0	0.9643	0.9804	0.9582	0.9898
450	22950463	1.0	0.885	0.9758	0.9777	0.9522	0.9775
451	22963712	1.0	0.9095	0.8895	0.9255	0.9776	0.9732
452	22970586	1.0	1.0	0.9716	0.9763	0.9795	0.9676
453	22977347	1.0	0.9364	0.8885	0.9339	0.9339	0.9695
454	22978443	1.0	1.0	1.0	1.0	1.0	0.9885
455	23022822	1.0	0.9595	0.9608	0.9863	0.9863	0.9863
456	23048016	1.0	0.9576	0.9387	0.949	0.9379	0.9402
457	23086876	1.0	1.0	1.0	1.0	0.9461	0.9753
458	23105930	1.0	1.0	0.9539	0.9616	0.9668	0.9664
459	23116406	0.7699	0.7773	0.7668	0.7751	0.831	0.9019
460	23136197	0.9891	0.9909	0.9674	0.9706	0.9569	0.9861
461	23143100	0.8869	0.9234	0.9692	0.9564	0.9593	0.9713
462	23144185	1.0	0.9053	0.9266	0.9389	0.8937	0.9056
463	23151488	1.0	0.9357	0.98	0.95	0.9645	0.9783
464	23152332	0.7699	0.8507	0.7952	0.8295	0.8171	0.895
465	23154511	1.0	0.9558	0.9059	0.8766	0.8757	0.9536
466	23163347	1.0	1.0	0.9797	0.934	0.9116	0.9725
467	23178487	1.0	1.0	1.0	1.0	1.0	0.9503
468	23189200	1.0	1.0	0.9753	0.9373	0.9083	0.9863
469	23198807	1.0	1.0	1.0	0.9781	0.9271	0.9536
470	23220691	0.7699	0.7641	0.758	0.7762	0.7528	0.9135
