	PMIDs	nDCG@5	nDCG@10	nDCG@15	nDCG@20	nDCG@25	nDCG@50
503	7525444						
504	7525450						
505	7525464						
506	7525547						
507	7525558						
508	7525568						
509	7525583						
510	7525637						
511	7525715						
512	7525755						
513	7525819						
514	7525854						
515	7525859						
516	7525863						
517	7525870						
518	7525892						
519	7525894						
520	7525898						
521	7525930						
522	7525939						
523	7525978						
524	7526111						
525	7526222						
526	7526324						
527	7526342						
528	7526450						
529	7526486						
530	7526493						
531	7526536						
532	7526699						
533	7526932						
534	7527052						
535	7527123						
536	7527149						
537	7527191						
538	7527339						
539	7527384						
540	7527400						
541	7527408						
542	7527461						
543	7527480						
544	7527588						
545	7527741						
546	7527779						
547	7527818						
548	7528517						
549	7528743						
550	7529048	0.786	0.5763	0.5818	0.4844	0.4893	0.6296
551	7529176						
552	7529319						
553	7529351						
554	7529593						
555	7529598						
556	7529818						
557	7529965						
558	7530043						
559	7530175						
560	7530452						
561	7530494						
562	7530600	0.5574	0.7128	0.6889	0.741	0.7576	0.7032
563	7530877						
564	7530908						
565	7530983						
566	7531704						
567	7531880						
568	7531985						
569	7532103						
570	7532153						
571	7532337	1.0	1.0	1.0	0.9677	0.972	0.921
572	7532531						
573	7532736						
574	7533605						
575	7533606						
576	7533907						
577	7534047						
578	7534068	0.7995	0.8699	0.8991	0.8945	0.8902	0.8118
579	7534108						
580	7534203						
581	7534226						
582	7534234						
583	7534315						
584	7534334						
585	7534462						
586	7534805						
587	7534877						
588	7535082						
589	7535340						
590	7535398	0.3142	0.2039	0.2315	0.229	0.2642	0.2975
591	7535629						
592	7535718						
593	7535732						
594	7535745						
595	7535746						
596	7535776						
597	7535781						
598	7535898						
599	7536008						
600	7536156						
601	7536232						
602	7536616						
603	7536683						
604	7536844	0.1461	0.1179	0.1418	0.1615	0.1893	0.2748
605	7536883						
606	7536885						
607	7536897						
608	7537189						
609	7537218						
610	7537306						
611	7537309						
612	7537325						
613	7537458						
614	7537496						
615	7537506						
616	7537578						
617	7537624						
618	7537697						
619	7537794						
620	7537849						
621	7537859						
622	7538143						
623	7538301						
624	7538446						
625	7538513						
626	7538605						
627	7538608						
628	7538666						
629	7539001						
630	7539054						
631	7539210						
632	7539685						
633	7540133						
634	7540278						
635	7540358						
636	7540552	0.5734	0.7231	0.7094	0.7126	0.7073	0.6726
637	7540574						
638	7541045						
639	7541254						
640	7541273						
641	7541313						
642	7541703						
643	7541910						
644	7541969						
645	7542032						
646	7542223						
647	7542225	1.0	1.0	0.9573	0.9645	0.9428	0.8928
648	7542253						
649	7542462	0.4852	0.4627	0.4063	0.3382	0.3197	0.2846
650	7542476						
651	7542564						
652	7542641						
653	7542685						
654	7542778						
655	7542850						
656	7543144						
657	7543196						
658	7543280						
659	7543582						
660	7543631						
661	7543652						
662	7543684						
663	7544060						
664	7544253						
665	7544710	0.0	0.0636	0.0954	0.0794	0.0964	0.1341
666	7544778						
667	7544807						
668	7545165						
669	7545211						
670	7545236	0.0	0.0	0.0	0.0	0.0	0.0
671	7545402						
672	7545509						
673	7545688						
674	7545833						
675	7545869						
676	7545954						
677	7546234						
678	7546294						
679	7546396	0.0	0.0	0.0	0.0	0.0527	0.0527
680	7546595						
681	7547479						
682	7547699						
683	7548116						
684	7548214						
685	7548746						
686	7548837	0.0487	0.056	0.0584	0.0825	0.0805	0.1888
687	7548851						
688	7549093						
689	7549193						
690	7549435						
691	7549467						
692	7549982						
693	7550017						
694	7550226						
695	7550343						
696	7550349						
697	7550352	0.6608	0.7065	0.7725	0.7778	0.78	0.802
698	7550356	1.0	0.9364	0.9208	0.9341	0.9161	0.8904
699	7550376						
700	7550723						
701	7551119						
702	7551342	0.1898	0.1232	0.0955	0.0908	0.0787	0.1378
703	7551947						
704	7551976						
705	7552174						
706	7552687						
707	7552962						
708	7552993						
709	7553060						
710	7553599	0.0	0.0761	0.0761	0.1368	0.1368	0.2803
711	7553620	0.0	0.0734	0.1045	0.121	0.1048	0.1101
712	7553622						
713	7553629						
714	7553863						
715	7553864						
716	7553870						
717	7554030						
718	7554031	0.0565	0.1029	0.1097	0.1357	0.1526	0.1732
719	7554047						
720	7554087	0.8869	0.7126	0.6863	0.7388	0.7025	0.7189
721	7554431						
722	7554623						
723	7554630						
724	7556215						
725	7556394						
726	7556445						
727	7556851						
728	7556901						
729	7556959						
730	7557151						
731	7557155						
732	7557386						
733	7557400						
734	7557433						
735	7557508						
736	7557972						
737	7558142						
738	7558152						
739	7558329						
740	7558620						
741	7559097						
742	7559313						
743	7559437						
744	7559441						
745	7559468						
746	7559497						
747	7559507	0.0	0.0694	0.0538	0.0448	0.0398	0.0901
748	7559546						
749	7559579						
750	7559608						
751	7559624						
752	7559641						
753	7559732	0.8304	0.8263	0.7308	0.7077	0.7201	0.7369
754	7559878						
755	7559948						
756	7560009						
757	7560099						
758	7560174						
759	7560270						
760	7560521						
761	7560905						
762	7561089						
763	7561135						
764	7561166						
765	7561759						
766	7561785	0.2773	0.3219	0.3859	0.3437	0.4114	0.5568
767	7561949						
768	7562095						
769	7562114						
770	7562165						
771	7562496						
772	7562498						
773	7562525						
774	7562556						
775	7562607	0.3757	0.3484	0.3338	0.3531	0.33	0.3882
776	7562961						
777	7563171						
778	7563216						
779	7563236						
780	7564390						
781	7564468	0.0	0.0	0.0	0.0	0.0	0.0
782	7564563						
783	7564727						
784	7565110						
785	7565118						
786	7565696						
787	7565697						
788	7565727						
789	7565737						
790	7565757						
791	7565779						
792	7565789	0.0	0.0	0.0	0.0607	0.2262	0.3236
793	7566000	0.8573	0.6935	0.6389	0.6213	0.5655	0.6187
794	7566553						
795	7566960	0.2409	0.1563	0.1507	0.1254	0.1086	0.1344
796	7567017						
797	7567144						
798	7567153						
799	7567389						
800	7567962						
801	7568002						
802	7568028						
803	7568029						
804	7568064						
805	7568068						
806	7568143	0.0	0.0	0.0	0.0	0.0	0.0
807	7568158						
808	7568165	0.3392	0.2201	0.3045	0.2535	0.2993	0.3225
809	7568214						
810	7569107						
811	7569573						
812	7569574						
813	7569584						
814	7569773						
815	7569998						
816	7570600						
817	7570619						
818	7570621						
819	7570713						
820	7571029						
821	7571223						
822	7571659						
823	7571988	0.5296	0.4073	0.4521	0.5115	0.5509	0.5862
824	7572160						
825	7572349						
826	7572543						
827	7572616						
828	7573356						
829	7573363						
830	7573482						
831	7573587						
832	7573794						
833	7573799						
834	7573950						
835	7574061						
836	7574459						
837	7574468	0.3452	0.4846	0.5721	0.5762	0.6063	0.6483
838	7574504						
839	7574592						
840	7574723						
841	7574727						
842	7574796						
843	7574991						
844	7575408						
845	7575496	0.1696	0.11	0.1145	0.1276	0.1642	0.2329
846	7575551						
847	7575611						
848	7575682						
849	7575689						
850	7575994						
851	7576102	0.0	0.0	0.1364	0.1483	0.1831	0.1605
852	7576301	0.4051	0.5014	0.6135	0.579	0.5636	0.6302
853	7576454						
854	7576661						
855	7576693						
856	7576968	0.8539	0.8268	0.8182	0.8486	0.7884	0.7918
857	7576992						
858	7576999	0.786	0.7917	0.7668	0.7616	0.7675	0.7114
859	7577076						
860	7577491						
861	7577679						
862	7577761						
863	7577941						
864	7577970						
865	7578274						
866	7578394						
867	7578942						
868	7579129						
869	7579137	0.4208	0.5376	0.5939	0.64	0.6525	0.6732
870	7579522						
871	7579523	1.0	0.8553	0.8403	0.8001	0.8008	0.8155
872	7579581						
873	7579788						
874	7580140	0.8304	0.8166	0.8142	0.7454	0.7531	0.7862
875	7580197						
876	7580313						
877	7580317						
878	7580356						
879	7580892						
880	7580930	0.5478	0.5767	0.6243	0.6656	0.6829	0.8325
881	7581375						
882	7581381						
883	7581478						
884	7581494						
885	7581745						
886	7581868						
887	7582040	0.5635	0.5747	0.5534	0.5736	0.6308	0.612
888	7582201						
889	7582877	0.2219	0.2219	0.2219	0.2219	0.2219	0.2219
890	7583153	0.2768	0.4229	0.4629	0.4877	0.4938	0.5733
891	7583235						
892	7583355						
893	7583467						
894	7584572						
895	7584668						
896	7584783						
897	7584826						
898	7584931						
899	7584992	0.5531	0.71	0.7291	0.7057	0.7183	0.734
900	7585009	0.2331	0.3326	0.272	0.283	0.3077	0.4049
901	7585037						
902	7585155						
903	7585320						
904	7585508	0.5403	0.6576	0.6124	0.5558	0.5167	0.4978
905	7585622						
906	7585625						
907	7585875						
908	7585978						
909	7586008						
910	7586010						
911	7586131						
912	7586174	0.6548	0.6313	0.6681	0.5903	0.6453	0.6152
913	7586805						
